id,location,latitude,longitude
454,"Lisbon, Lisboa, Portugal",38.7253,-9.15
455,"Liverpool, United Kingdom",53.4094,-2.9785
456,"Ljubljana, Slovenia",46.0514,14.5061
457,"London, United Kingdom",51.5072,-0.1275
458,"Loures, Lisboa, Portugal",38.8333,-9.1667
459,"Lubaczów, Podkarpackie, Poland",50.1667,23.1167
460,"Lubartów, Lubelskie, Poland",51.4667,22.6
461,"Lubawa, Warmińsko-Mazurskie, Poland",53.5,19.75
462,"Lubań, Dolnośląskie, Poland",51.1181,15.2889
463,"Lubin, Dolnośląskie, Poland",51.4,16.2
464,"Lublin, Lubelskie, Poland",51.25,22.5667
465,"Lubliniec, Śląskie, Poland",50.6833,18.6833
466,"Luboń, Wielkopolskie, Poland",52.3333,16.8833
467,"Lubsko, Lubuskie, Poland",51.7833,14.9667
468,"Luhansk, Ukraine",48.5678,39.3031
469,"Luton, United Kingdom",51.8783,-0.4147
470,"Lutsk, Volynska Oblast, Ukraine",50.75,25.3358
471,"Lviv, Ukraine",49.8425,24.0322
472,"Lyon, Auvergne-Rhône-Alpes, France",45.76,4.84
473,"Lyubertsy, Moskovskaya Oblast’, Russia",55.6783,37.8944
474,"Lübeck, Schleswig-Holstein, Germany",53.8697,10.6864
475,"Lębork, Pomorskie, Poland",54.55,17.75
476,"Maastricht, Limburg, Netherlands",50.85,5.6833
477,"Madrid, Spain",40.4169,-3.7033
478,"Magdeburg, Saxony-Anhalt, Germany",52.1317,11.6392
479,"Mahilyow, Belarus",53.9167,30.35
480,"Mainz, Rhineland-Palatinate, Germany",49.9994,8.2736
481,"Makiivka, Donetska Oblast, Ukraine",48.0556,37.9611
482,"Maków Mazowiecki, Mazowieckie, Poland",52.8667,21.1
483,"Malatya, Turkey",38.3486,38.3194
484,"Malbork, Pomorskie, Poland",54.0333,19.0333
485,"Malmö, Skåne, Sweden",55.6058,13.0358
486,"Mamak, Ankara, Turkey",39.9422,32.9231
487,"Manchester, United Kingdom",53.479,-2.2452
488,"Manisa, Turkey",38.6144,27.4292
489,"Mannheim, Baden-Württemberg, Germany",49.4878,8.4661
490,"Mariupol, Donetska Oblast, Ukraine",47.0958,37.5494
491,"Marki, Mazowieckie, Poland",52.3333,21.1
492,"Marrakech, Morocco",31.63,-8.0089
493,"Marseille, Provence-Alpes-Côte d’Azur, France",43.2964,5.37
494,"Meknès, Morocco",33.895,-5.5547
495,"Melikgazi, Kayseri, Turkey",38.7167,35.5
496,"Menemen, İzmir, Turkey",38.6,27.0667
497,"Meram, Konya, Turkey",37.8364,32.4383
498,"Mersin, Turkey",36.8,34.6333
499,"Messina, Sicilia, Italy",38.1936,15.5542
500,"Mezitli, Mersin, Turkey",36.75,34.5333
501,"Miastko, Pomorskie, Poland",54.0167,16.9833
502,"Miechów, Małopolskie, Poland",50.3578,20.0325
503,"Mielec, Podkarpackie, Poland",50.2833,21.4333
504,"Mikołów, Śląskie, Poland",50.1667,18.9
505,"Mikuszowice, Śląskie, Poland",49.7833,19.0703
506,"Milan, Lombardy, Italy",45.4669,9.19
507,"Milanówek, Mazowieckie, Poland",52.1167,20.65
508,"Milicz, Dolnośląskie, Poland",51.5333,17.2833
509,"Milton Keynes, United Kingdom",52.04,-0.76
510,"Minsk, Belarus",53.9,27.5667
511,"Międzychód, Wielkopolskie, Poland",52.6,15.8833
512,"Międzyrzec Podlaski, Lubelskie, Poland",51.9833,22.7833
513,"Międzyrzecz, Lubuskie, Poland",52.4483,15.5883
514,"Mińsk Mazowiecki, Mazowieckie, Poland",52.1833,21.5667
515,"Mişrātah, Libya",32.3775,15.092
516,"Mogilno, Kujawsko-Pomorskie, Poland",52.65,17.95
517,"Mohammedia, Casablanca-Settat, Morocco",33.6833,-7.3833
518,"Montpellier, Occitanie, France",43.6119,3.8772
519,"Morąg, Warmińsko-Mazurskie, Poland",53.9167,19.9333
520,"Moscow, Moskva, Russia",55.7558,37.6172
521,"Mosina, Wielkopolskie, Poland",52.2467,16.845
522,"Mosul, Nīnawá, Iraq",36.34,43.13
523,"Mońki, Podlaskie, Poland",53.4,22.8
524,"Mrągowo, Warmińsko-Mazurskie, Poland",53.8667,21.3
525,"Munich, Bavaria, Germany",48.1375,11.575
526,"Murcia, Spain",37.9861,-1.1303
527,"Murmansk, Russia",68.9706,33.075
528,"Murowana Goślina, Wielkopolskie, Poland",52.5667,17.0167
529,"Mykolaiv, Ukraine",46.975,31.995
530,"Myszków, Śląskie, Poland",50.5706,19.3144
531,"Mysłowice, Śląskie, Poland",50.2333,19.1333
532,"Mytishchi, Moskovskaya Oblast’, Russia",55.9167,37.7667
533,"Myślenice, Małopolskie, Poland",49.8347,19.9389
534,"Myślibórz, Zachodniopomorskie, Poland",52.9333,14.8667
535,"Málaga, Andalusia, Spain",36.7194,-4.42
536,"Móstoles, Madrid, Spain",40.3333,-3.8667
537,"Mönchengladbach, North Rhine-Westphalia, Germany",51.2,6.4333
538,"Münster, North Rhine-Westphalia, Germany",51.9625,7.6256
539,"Mława, Mazowieckie, Poland",53.1167,20.3667
540,"Nakło nad Notecią, Kujawsko-Pomorskie, Poland",53.1403,17.5928
541,"Nalchik, Kabardino-Balkariya, Russia",43.4833,43.6167
542,"Namysłów, Opolskie, Poland",51.0728,17.7069
543,"Nantes, Pays de la Loire, France",47.2181,-1.5528
544,"Naples, Campania, Italy",40.8333,14.25
545,"Netanya, Central, Israel",32.3286,34.8567
546,"Newcastle, United Kingdom",54.978,-1.6102
547,"Nice, Provence-Alpes-Côte d’Azur, France",43.7034,7.2663
548,"Nicosia, Lefkosía, Cyprus",35.1725,33.365
549,"Nidzica, Warmińsko-Mazurskie, Poland",53.3583,20.425
550,"Niepołomice, Małopolskie, Poland",50.0339,20.2172
551,"Nilüfer, Bursa, Turkey",40.2833,28.95
552,"Nisko, Podkarpackie, Poland",50.52,22.1394
553,"Nizhniy Novgorod, Nizhegorodskaya Oblast’, Russia",56.3269,44.0075
554,"Northampton, United Kingdom",52.2304,-0.8938
555,"Norwich, Norfolk, United Kingdom",52.6286,1.2928
556,"Nottingham, United Kingdom",52.9561,-1.1512
557,"Novi Sad, Serbia",45.2542,19.8425
558,"Novorossiysk, Krasnodarskiy Kray, Russia",44.7167,37.7833
559,"Nowa Dęba, Podkarpackie, Poland",50.4167,21.7667
560,"Nowa Ruda, Dolnośląskie, Poland",50.5833,16.5
561,"Nowa Sól, Lubuskie, Poland",51.8,15.7167
562,"Nowe Miasto Lubawskie, Warmińsko-Mazurskie, Poland",53.4256,19.5878
563,"Nowogard, Zachodniopomorskie, Poland",53.6667,15.1167
564,"Nowy Dwór Gdański, Pomorskie, Poland",54.2167,19.1167
565,"Nowy Dwór Mazowiecki, Mazowieckie, Poland",52.4333,20.7167
566,"Nowy Sącz, Małopolskie, Poland",49.6239,20.6972
567,"Nowy Targ, Małopolskie, Poland",49.4667,20.0167
568,"Nowy Tomyśl, Wielkopolskie, Poland",52.3167,16.1333
569,"Nuremberg, Bavaria, Germany",49.4539,11.0775
570,"Nysa, Opolskie, Poland",50.4714,17.3339
571,"Nyíregyháza, Szabolcs-Szatmár-Bereg, Hungary",47.9531,21.7271
572,"Oberhausen, North Rhine-Westphalia, Germany",51.4967,6.8706
573,"Oborniki Śląskie, Dolnośląskie, Poland",51.2986,16.9017
574,"Oborniki, Wielkopolskie, Poland",52.65,16.8167
575,"Odesa, Odeska Oblast, Ukraine",46.4775,30.7326
576,"Olecko, Warmińsko-Mazurskie, Poland",54.0333,22.5
577,"Olesno, Opolskie, Poland",50.875,18.4167
578,"Oleśnica, Dolnośląskie, Poland",51.2,17.3833
579,"Olkusz, Małopolskie, Poland",50.2833,19.5667
580,"Olsztyn, Warmińsko-Mazurskie, Poland",53.7778,20.4792
581,"Opalenica, Wielkopolskie, Poland",52.3078,16.4136
582,"Opoczno, Łódzkie, Poland",51.3772,20.2869
583,"Opole, Opolskie, Poland",50.6667,17.9333
584,"Ordu, Turkey",40.9833,37.8833
585,"Orzesze, Śląskie, Poland",50.15,18.75
586,"Orël, Orlovskaya Oblast’, Russia",52.9686,36.0694
587,"Oslo, Norway",59.9133,10.7389
588,"Osmangazi, Bursa, Turkey",40.1983,29.06
589,"Osmaniye, Turkey",37.075,36.25
590,"Osowa, Pomorskie, Poland",54.4272,18.4708
591,"Ostrava, Moravskoslezský Kraj, Czechia",49.8356,18.2925
592,"Ostrowiec Świętokrzyski, Świętokrzyskie, Poland",50.9333,21.4
593,"Ostrołęka, Mazowieckie, Poland",53.0667,21.5667
594,"Ostrzeszów, Wielkopolskie, Poland",51.4167,17.9333
595,"Ostróda, Warmińsko-Mazurskie, Poland",53.7,19.9667
596,"Ostrów Mazowiecka, Mazowieckie, Poland",52.8,21.9
597,"Ostrów Wielkopolski, Wielkopolskie, Poland",51.6494,17.8164
598,"Otwock, Mazowieckie, Poland",52.1167,21.2667
599,"Oujda-Angad, Oriental, Morocco",34.6867,-1.9114
600,"Oulu, Pohjois-Pohjanmaa, Finland",65.0142,25.4719
601,"Oviedo, Asturias, Spain",43.36,-5.845
602,"Ozorków, Łódzkie, Poland",51.9667,19.2833
603,"Oława, Dolnośląskie, Poland",50.9333,17.3
604,"Oświęcim, Małopolskie, Poland",50.0381,19.2214
605,"Ożarów Mazowiecki, Mazowieckie, Poland",52.2167,20.8
606,"Pabianice, Łódzkie, Poland",51.65,19.3833
607,"Padova, Veneto, Italy",45.4167,11.8667
608,"Palermo, Sicilia, Italy",38.1111,13.3517
609,"Palma, Balearic Islands, Spain",39.5667,2.65
610,"Pamplona, Navarre, Spain",42.8167,-1.65
611,"Pamukkale, Denizli, Turkey",37.9167,29.1167
612,"Parczew, Lubelskie, Poland",51.6333,22.8667
613,"Paris, Île-de-France",48.8567,2.3522
614,"Pasłęk, Warmińsko-Mazurskie, Poland",54.05,19.6667
615,"Pendik, İstanbul, Turkey",40.8747,29.235
616,"Penza, Penzenskaya Oblast’, Russia",53.2,45.0
617,"Petaẖ Tiqwa, Central, Israel",32.0889,34.8864
618,"Petrel, Valencia, Spain",38.4789,-0.7967
619,"Petrozavodsk, Kareliya, Russia",61.7833,34.3333
620,"Piaseczno, Mazowieckie, Poland",52.0667,21.0167
621,"Piastów, Mazowieckie, Poland",52.1833,20.85
622,"Piekary Śląskie, Śląskie, Poland",50.3833,18.95
623,"Pionki, Mazowieckie, Poland",51.4833,21.45
624,"Piotrków Trybunalski, Łódzkie, Poland",51.4,19.6833
625,"Piraeus, Attikí, Greece",37.943,23.6469
626,"Pisz, Warmińsko-Mazurskie, Poland",53.6167,21.8
627,"Piła, Wielkopolskie, Poland",53.15,16.7333
628,"Pińczów, Świętokrzyskie, Poland",50.5333,20.5333
629,"Pleszew, Wielkopolskie, Poland",51.8833,17.7833
630,"Plewiska, Wielkopolskie, Poland",52.3664,16.8089
631,"Plovdiv, Bulgaria",42.15,24.75
632,"Plymouth, United Kingdom",50.3714,-4.1422
633,"Pobiedziska, Wielkopolskie, Poland",52.4833,17.4833
634,"Podgórze, Małopolskie, Poland",50.0417,19.9833
635,"Podolsk, Moskovskaya Oblast’, Russia",55.4311,37.5456
636,"Police, Zachodniopomorskie, Poland",53.5333,14.5667
637,"Polkowice, Dolnośląskie, Poland",51.5,16.0667
638,"Poltava, Poltavska Oblast, Ukraine",49.5894,34.5514
639,"Poniatowa, Lubelskie, Poland",51.1928,22.0647
640,"Port Said, Būr Sa‘īd, Egypt",31.2625,32.3061
641,"Porto, Portugal",41.1621,-8.622
642,"Portsmouth, United Kingdom",50.8058,-1.0872
643,"Poznań, Wielkopolskie, Poland",52.4083,16.9336
644,"Prague, Praha, Czechia",50.0875,14.4214
645,"Prizren, Kosovo",42.2128,20.7392
646,"Prudnik, Opolskie, Poland",50.3228,17.5767
647,"Pruszcz Gdański, Pomorskie, Poland",54.2667,18.6333
648,"Pruszków, Mazowieckie, Poland",52.1667,20.8
649,"Przasnysz, Mazowieckie, Poland",53.0167,20.8833
650,"Przemyśl, Podkarpackie, Poland",49.7833,22.7667
651,"Przeworsk, Podkarpackie, Poland",50.0667,22.5
652,"Pskov, Russia",57.8167,28.3333
653,"Pszczyna, Śląskie, Poland",49.9833,18.95
654,"Puck, Pomorskie, Poland",54.7,18.4
655,"Puszczykowo, Wielkopolskie, Poland",52.2817,16.8542
656,"Puławy, Lubelskie, Poland",51.4167,21.9667
657,"Pułtusk, Mazowieckie, Poland",52.7,21.0833
658,"Pyrzyce, Zachodniopomorskie, Poland",53.1333,14.8833
659,"Pyskowice, Śląskie, Poland",50.3833,18.6167
660,"Pécs, Baranya, Hungary",46.0711,18.2331
661,"Płock, Mazowieckie, Poland",52.55,19.7
662,"Płońsk, Mazowieckie, Poland",52.6333,20.3833
663,"Qillīn, Kafr ash Shaykh, Egypt",31.0464,30.8546
664,"Rabat, Morocco",34.0209,-6.8416
665,"Racibórz, Śląskie, Poland",50.0833,18.2333
666,"Radom, Mazowieckie, Poland",51.4036,21.1567
667,"Radomsko, Łódzkie, Poland",51.0667,19.45
668,"Radzionków Nowy, Śląskie, Poland",50.3833,18.8833
669,"Radzymin, Mazowieckie, Poland",52.4167,21.1833
670,"Radzyń Podlaski, Lubelskie, Poland",51.7828,22.6242
671,"Rawa Mazowiecka, Łódzkie, Poland",51.7658,20.2533
672,"Rawicz, Wielkopolskie, Poland",51.6092,16.8575
673,"Reading, United Kingdom",51.4542,-0.9731
674,"Reda, Pomorskie, Poland",54.6167,18.35
675,"Rennes, Bretagne, France",48.1147,-1.6794
676,"Riga, Rīga, Latvia",56.9489,24.1064
677,"Rishon LeẔiyyon, Central, Israel",31.95,34.8
678,"Rivne, Ukraine",50.6192,26.2519
679,"Rogoźno, Wielkopolskie, Poland",52.7492,16.9997
680,"Rome, Lazio, Italy",41.8933,12.4828
681,"Ropczyce, Podkarpackie, Poland",50.0861,21.6333
682,"Rostock, Mecklenburg-Western Pomerania, Germany",54.0833,12.1333
683,"Rostov, Russia",47.2225,39.71
684,"Rotterdam, Zuid-Holland, Netherlands",51.92,4.48
685,"Ruda Śląska, Śląskie, Poland",50.2628,18.8536
686,"Rumia, Pomorskie, Poland",54.5667,18.4
687,"Rury, Lubelskie, Poland",51.2386,22.5164
688,"Ryazan, Russia",54.63,39.7425
689,"Rybnik, Śląskie, Poland",50.0833,18.55
690,"Ryki, Lubelskie, Poland",51.6333,21.9333
691,"Rypin, Kujawsko-Pomorskie, Poland",53.0667,19.45
692,"Rzeszów, Podkarpackie, Poland",50.0333,22.0
693,"Râs el-Barr, Ad Daqahlīyah, Egypt",31.5125,31.8256
694,"Rāniyah, As Sulaymānīyah, Iraq",36.255,44.8836
695,"Sabadell, Catalonia, Spain",41.5486,2.1075
696,"Sab‘ al Būr, Baghdād, Iraq",33.4644,44.1536
697,"Safi, Morocco",32.2833,-9.2333
698,"Saint Petersburg, Sankt-Peterburg, Russia",59.9375,30.3086
699,"Sakarya, Turkey",40.7833,30.4
700,"Sale, Rabat-Salé-Kénitra, Morocco",34.0333,-6.8
701,"Samsun, Turkey",41.2903,36.3336
702,"Sandnes, Rogaland, Norway",58.8517,5.7361
703,"Sandomierz, Świętokrzyskie, Poland",50.6833,21.75
704,"Sanok, Podkarpackie, Poland",49.55,22.2167
705,"Sarajevo, Bosnia and Herzegovina, Federation of",43.8564,18.4131
706,"Sarıyer, İstanbul, Turkey",41.1669,29.0572
707,"Sarıçam, Adana, Turkey",37.0333,35.4167
708,"Sawrān, Arbīl, Iraq",36.6606,44.5508
709,"Selçuklu, Konya, Turkey",37.8814,32.4922
710,"Sevastopol, Ukraine",44.605,33.5225
711,"Sevilla, Andalusia, Spain",37.39,-5.99
712,"Seyhan, Adana, Turkey",36.9831,35.3328
713,"Sfax, Tunisia",34.74,10.76
714,"Shakhty, Rostovskaya Oblast’, Russia",47.7,40.2333
715,"Sheffield, United Kingdom",53.3808,-1.4703
716,"Shibīn al Kawm, Al Minūfīyah, Egypt",30.5586,31.01
717,"Shibīn al Qanāţir, Al Qalyūbīyah, Egypt",30.3133,31.3214
718,"Shubrā al Khaymah, Al Qalyūbīyah, Egypt",30.1286,31.2422
719,"Shubrākhīt, Al Buḩayrah, Egypt",31.0275,30.7128
720,"Sidi Aïssa, M’sila, Algeria",36.5,4.2978
721,"Sidi Bel Abbès, Algeria",35.1939,-0.6414
722,"Sidi Bouzid, Tunisia",35.0381,9.4858
723,"Sidlice, Pomorskie, Poland",54.3471,18.6171
724,"Siechnice, Dolnośląskie, Poland",51.0367,17.1525
725,"Siedlce, Mazowieckie, Poland",52.165,22.2714
726,"Siemianowice Śląskie, Śląskie, Poland",50.2758,18.9858
727,"Siemiatycze, Podlaskie, Poland",52.4272,22.8625
728,"Sieradz, Łódzkie, Poland",51.6,18.75
729,"Sierpc, Mazowieckie, Poland",52.8833,19.6667
730,"Simferopol, Krym, Avtonomna Respublika, Ukraine",44.9519,34.1022
731,"Sincan, Ankara, Turkey",39.9594,32.5767
732,"Sintra, Lisboa, Portugal",38.7992,-9.3883
733,"Sivas, Turkey",39.75,37.0167
734,"Siverek, Şanlıurfa, Turkey",37.75,39.3167
735,"Skarżysko-Kamienna, Świętokrzyskie, Poland",51.1167,20.9167
736,"Skawina, Małopolskie, Poland",49.9833,19.8333
737,"Skierniewice, Łódzkie, Poland",51.9528,20.1417
738,"Skoczów, Śląskie, Poland",49.8006,18.7883
739,"Skopje, North Macedonia",41.9961,21.4317
740,"Skwierzyna, Lubuskie, Poland",52.6,15.5
741,"Smolensk, Russia",54.7828,32.0453
742,"Sochaczew, Mazowieckie, Poland",52.2333,20.2333
743,"Sochi, Krasnodarskiy Kray, Russia",43.5853,39.7203
744,"Sofia, Bulgaria",42.7,23.33
745,"Sokołów Podlaski, Mazowieckie, Poland",52.4067,22.2464
746,"Sokółka, Podlaskie, Poland",53.4,23.5
747,"Solec Kujawski, Kujawsko-Pomorskie, Poland",53.0833,18.2333
748,"Solihull, United Kingdom",52.413,-1.778
749,"Sopot, Pomorskie, Poland",54.4333,18.55
750,"Sosnowiec, Śląskie, Poland",50.2833,19.1333
751,"Sousse, Tunisia",35.8333,10.6333
752,"Southampton, United Kingdom",50.9025,-1.4042
753,"Stalowa Wola, Podkarpackie, Poland",50.5667,22.05
754,"Starachowice, Świętokrzyskie, Poland",51.05,21.0667
755,"Stargard Szczeciński, Zachodniopomorskie, Poland",53.3333,15.0333
756,"Starogard Gdański, Pomorskie, Poland",53.9667,18.5333
757,"Stary Sącz, Małopolskie, Poland",49.5625,20.6364
758,"Staryy Oskol, Belgorodskaya Oblast’, Russia",51.3,37.8333
759,"Staszów, Świętokrzyskie, Poland",50.5633,21.1717
760,"Stavanger, Rogaland, Norway",58.97,5.7314
761,"Stavropol, Russia",45.05,41.9833
762,"Stockholm, Sweden",59.3294,18.0686
763,"Stoke-on-Trent, United Kingdom",53.0,-2.1833
764,"Strasbourg, Grand Est, France",48.5833,7.7458
765,"Strzegom, Dolnośląskie, Poland",50.9611,16.3444
766,"Strzelce Krajeńskie, Lubuskie, Poland",52.8756,15.5319
767,"Strzelce Opolskie, Opolskie, Poland",50.5,18.2833
768,"Strzelin, Dolnośląskie, Poland",50.7833,17.0667
769,"Stuttgart, Baden-Württemberg, Germany",48.7775,9.18
770,"Sucha Beskidzka, Małopolskie, Poland",49.7403,19.5886
771,"Suchanino, Pomorskie, Poland",54.3667,18.65
772,"Sulechów, Lubuskie, Poland",52.0833,15.6167
773,"Sulejówek, Mazowieckie, Poland",52.2442,21.28
774,"Sultanbeyli, İstanbul, Turkey",40.9683,29.2617
775,"Sulęcin, Lubuskie, Poland",52.45,15.1167
776,"Sumy, Sumska Oblast, Ukraine",50.9119,34.8028
777,"Sunderland, United Kingdom",54.906,-1.381
778,"Suwałki, Podlaskie, Poland",54.0989,22.9286
779,"Swarzędz, Wielkopolskie, Poland",52.4083,17.0714
780,"Swindon, United Kingdom",51.56,-1.78
781,"Syców, Dolnośląskie, Poland",51.31,17.7236
782,"Szamotuły, Wielkopolskie, Poland",52.6,16.5833
783,"Szczecin, Zachodniopomorskie, Poland",53.4325,14.5481
784,"Szczecinek, Zachodniopomorskie, Poland",53.7167,16.6833
785,"Szczytno, Warmińsko-Mazurskie, Poland",53.5628,20.9853
786,"Szeged, Csongrád-Csanád, Hungary",46.255,20.145
787,"Szprotawa, Lubuskie, Poland",51.5667,15.5
788,"Sztum, Pomorskie, Poland",53.9217,19.0336
789,"Szubin, Kujawsko-Pomorskie, Poland",53.0167,17.75
790,"Szydłowiec, Mazowieckie, Poland",51.2333,20.85
791,"Székesfehérvár, Fejér, Hungary",47.1956,18.4089
792,"Sétif, Algeria",36.19,5.41
793,"Sędziszów Małopolski, Podkarpackie, Poland",50.0694,21.7014
794,"Sępólno Krajeńskie, Kujawsko-Pomorskie, Poland",53.45,17.53
795,"Sławno, Zachodniopomorskie, Poland",54.3667,16.6833
796,"Słubice, Lubuskie, Poland",52.35,14.5667
797,"Słupca, Wielkopolskie, Poland",52.3,17.8667
798,"Słupsk, Pomorskie, Poland",54.4658,17.0292
799,"Taganrog, Rostovskaya Oblast’, Russia",47.2167,38.9167
800,"Tallinn, Estonia",59.4372,24.7453
801,"Talā, Al Minūfīyah, Egypt",30.6801,30.9438
802,"Tambov, Russia",52.7231,41.4539
803,"Tampere, Pirkanmaa, Finland",61.4981,23.76
804,"Tangier, Tanger-Tétouan-Al Hoceïma, Morocco",35.7767,-5.8039
805,"Taourirt, Oriental, Morocco",34.4169,-2.885
806,"Tarnobrzeg, Podkarpackie, Poland",50.5833,21.6833
807,"Tarnowskie Góry, Śląskie, Poland",50.4444,18.8583
808,"Tarnów, Małopolskie, Poland",50.0125,20.9886
809,"Tarrasa, Catalonia, Spain",41.57,2.013
810,"Tarsus, Mersin, Turkey",36.9165,34.8951
811,"Tbilisi, Georgia",41.7225,44.7925
812,"Tczew, Pomorskie, Poland",54.0875,18.7972
813,"Tekirdağ, Turkey",40.9778,27.5153
814,"Tel Aviv-Yafo, Tel Aviv, Israel",32.08,34.78
815,"Temara, Rabat-Salé-Kénitra, Morocco",33.9267,-6.9122
816,"Ternopil, Ukraine",49.5667,25.6
817,"The Hague, Zuid-Holland, Netherlands",52.08,4.31
818,"Thessaloníki, Kentrikí Makedonía, Greece",40.6403,22.9347
819,"Tilburg, Noord-Brabant, Netherlands",51.55,5.0833
820,"Timayy al Imdīd, Ad Daqahlīyah, Egypt",30.9438,31.5293
821,"Timişoara, Timiş, Romania",45.7597,21.23
822,"Tirana, Tiranë, Albania",41.3289,19.8178
823,"Tomaszów Lubelski, Lubelskie, Poland",50.45,23.4167
824,"Tomaszów Mazowiecki, Łódzkie, Poland",51.5167,20.0167
825,"Toruń, Kujawsko-Pomorskie, Poland",53.0222,18.6111
826,"Toulouse, Occitanie, France",43.6045,1.444
827,"Trabzon, Turkey",41.005,39.7225
828,"Tripoli, Liban-Nord, Lebanon",34.4367,35.8344
829,"Tripoli, Ţarābulus, Libya",32.8872,13.1914
830,"Trondheim, Trøndelag, Norway",63.4297,10.3933
831,"Trzcianka, Wielkopolskie, Poland",53.05,16.4667
832,"Trzebiatów, Zachodniopomorskie, Poland",54.0572,15.2786
833,"Trzebinia, Małopolskie, Poland",50.1667,19.4833
834,"Trzebnica, Dolnośląskie, Poland",51.305,17.0614
835,"Tuchola, Kujawsko-Pomorskie, Poland",53.6,17.85
836,"Tula, Tul’skaya Oblast’, Russia",54.2,37.6167
837,Tunis,36.8064,10.1817
838,"Turek, Wielkopolskie, Poland",52.0167,18.5
839,"Turin, Piedmont, Italy",45.0792,7.6761
840,"Turku, Varsinais-Suomi, Finland",60.45,22.2667
841,"Tuzla, İstanbul, Turkey",40.8161,29.3006
842,"Tver, Russia",56.8625,35.9242
843,"Tychy, Śląskie, Poland",50.1236,18.9867
844,"Tétouan, Morocco",35.5667,-5.3667
845,"Umraniye, İstanbul, Turkey",41.0311,29.1081
846,"Ustka, Pomorskie, Poland",54.5833,16.85
847,"Ustroń, Śląskie, Poland",49.7194,18.8119
848,"Ustrzyki Dolne, Podkarpackie, Poland",49.4297,22.5867
849,"Utrecht, Netherlands",52.0908,5.1217
850,"Uşak, Turkey",38.6778,29.4042
851,"Valencia, Spain",39.47,-0.3764
852,"Valladolid, Castille-Leon, Spain",41.6528,-4.7236
853,"Valletta, Malta",35.8983,14.5125
854,"Van, Turkey",38.4942,43.38
855,"Vantaa, Uusimaa, Finland",60.2944,25.0403
856,"Varna, Bulgaria",43.2167,27.9167
857,"Velikiy Novgorod, Novgorodskaya Oblast’, Russia",58.55,31.2667
858,"Venice, Veneto, Italy",45.4375,12.3358
859,"Verona, Veneto, Italy",45.4386,10.9928
860,"Vienna, Wien, Austria",48.2083,16.3725
861,"Vigo, Galicia, Spain",42.2314,-8.7124
862,"Vila Nova de Gaia, Porto, Portugal",41.1333,-8.6167
863,"Vilnius, Vilniaus Miestas, Lithuania",54.6872,25.28
864,"Vinnytsia, Vinnytska Oblast, Ukraine",49.2333,28.4833
865,"Vitoria-Gasteiz, Basque Country, Spain",42.85,-2.6833
866,"Vitsyebsk, Belarus",55.1917,30.2056
867,"Vladikavkaz, North Ossetia, Russia",43.04,44.6775
868,"Vladimir, Russia",56.1286,40.4058
869,"Volgograd, Russia",48.7086,44.5147
870,"Vologda, Vologodskaya Oblast’, Russia",59.2167,39.9
871,"Volzhskiy, Volgogradskaya Oblast’, Russia",48.8056,44.7417
872,"Voronezh, Russia",51.6717,39.2106
873,"Wadowice, Małopolskie, Poland",49.8833,19.5
874,"Wapienica, Śląskie, Poland",49.8083,18.9839
875,"Warka, Mazowieckie, Poland",51.7833,21.2
876,"Warsaw, Mazowieckie, Poland",52.23,21.0111
877,"Wasilków, Podlaskie, Poland",53.205,23.2044
878,"Wałbrzych, Dolnośląskie, Poland",50.7667,16.2833
879,"Wałcz, Zachodniopomorskie, Poland",53.2667,16.4667
880,"Wejherowo, Pomorskie, Poland",54.6,18.25
881,"Westminster, United Kingdom",51.4947,-0.1353
882,"Wieliczka, Małopolskie, Poland",49.9894,20.0661
883,"Wieluń, Łódzkie, Poland",51.2206,18.57
884,"Wieruszów, Łódzkie, Poland",51.3,18.15
885,"Wiesbaden, Hesse, Germany",50.0825,8.24
886,"Wisła, Śląskie, Poland",49.6549,18.8595
887,"Wodzisław Śląski, Śląskie, Poland",50.0,18.45
888,"Wolsztyn, Wielkopolskie, Poland",52.1167,16.1167
889,"Wolverhampton, United Kingdom",52.5833,-2.1333
890,"Worthing, West Sussex, United Kingdom",50.8147,-0.3714
891,"Wołomin, Mazowieckie, Poland",52.35,21.2333
892,"Wołów, Dolnośląskie, Poland",51.3414,16.6283
893,"Wrocław, Dolnośląskie, Poland",51.11,17.0325
894,"Wronki, Wielkopolskie, Poland",52.7,16.3833
895,"Września, Wielkopolskie, Poland",52.3333,17.5833
896,"Wschowa, Lubuskie, Poland",51.8,16.3
897,"Wuppertal, North Rhine-Westphalia, Germany",51.2667,7.1833
898,"Wysokie Mazowieckie, Podlaskie, Poland",52.9192,22.5144
899,"Wyszków, Mazowieckie, Poland",52.5928,21.4584
900,"Wąbrzeźno, Kujawsko-Pomorskie, Poland",53.2833,18.95
901,"Wągrowiec, Wielkopolskie, Poland",52.8,17.2
902,"Węgorzewo, Warmińsko-Mazurskie, Poland",54.2167,21.75
903,"Węgrów, Mazowieckie, Poland",52.4,22.0167
904,"Władysławowo, Pomorskie, Poland",54.8339,18.3156
905,"Włocławek, Kujawsko-Pomorskie, Poland",52.6592,19.0681
906,"Włodawa, Lubelskie, Poland",51.55,23.55
907,"Włoszczowa, Świętokrzyskie, Poland",50.8542,19.9669
908,"Yaroslavl, Yaroslavskaya Oblast’, Russia",57.6167,39.85
909,"Yenimahalle, Ankara, Turkey",39.9719,32.8119
